id,value
NOK,"Norsk króna"
ILS,"Nýr ísraelskur sikill"
NZD,"Nýsjálenskur dalur"
OMR,"Ómanskt ríal"
PKR,"Pakistönsk rúpía"
PGK,"Papúsk kína"
PYG,"Paragvæskt gvaraní"
PEI,"Peruvian Inti"
PES,"Peruvian Sol (1863–1965)"
PEN,"Perúskt sól"
PTE,"Portúgalskur skúti"
GWE,"Portúgalskur, gíneskur skúti"
XPF,"Pólinesískur franki"
PLN,"Pólskt slot"
ZAL,"Rand (viðskipta)"
RHD,"Rhodesian Dollar"
XRE,"RINET Funds"
RWF,"Rúandskur franki"
RON,"Rúmenskt lei"
ROL,"Rúmenskt lei (1952–2006)"
RUB,"Rússnesk rúbla"
RUR,"Rússnesk rúbla (1991–1998)"
SBD,"Salómonseyskur dalur"
ZMW,"Sambísk kvaka"
WST,Samóatala
STD,"Saó Tóme og Prinsípe-dóbra"
SAR,"Sádiarabískt ríal"
CSD,"Serbian Dinar (2002–2006)"
RSD,"Serbneskur denari"
SCR,Seychellesrúpía
ZWD,"Simbabveskur dalur"
SGD,"Singapúrskur dalur"
SLL,"Síerraleónsk ljóna"
CLP,"Síleskur pesi"
BAM,"Skiptanlegt Bosníu og Hersegóvínu-mark"
PLZ,Slot
SKK,"Slóvakísk króna"
SIT,"Slóvenskur dalur"
KRH,"South Korean Hwan (1953–1962)"
KRO,"South Korean Won (1945–1953)"
SUR,"Soviet Rouble"
SOS,"Sómalískur skildingur"
ESA,"Spanish Peseta (A account)"
ESB,"Spanish Peseta (convertible account)"
ESP,"Spænskur peseti"
LKR,"Srílönsk rúpía"
GBP,Sterlingspund
ZAR,"Suðurafrískt rand"
KRW,"Suðurkóreskt vonn"
SSP,"Suðursúdanskt pund"
SRG,"Suriname Guilder"
SDG,"Súdanskt pund"
SDP,"Súdanskt pund (1957–1998)"
SDD,"Súdanskur denari"
SRD,Súrínamdalur
SZL,"Svasílenskur lílangeni"
CHF,"Svissneskur franki"
SYP,"Sýrlenskt pund"
SEK,"Sænsk króna"
TJR,"Tadsjiksk rúbla"
TJS,"Tadsjikskur sómóni"
THB,"Taílenskt bat"
TWD,"Taívanskur dalur"
TZS,"Tansanískur skildingur"
CZK,"Tékknesk króna"
CSK,"Tékknesk króna, eldri"
TPE,"Tímorskur skúti"
TOP,Tongapanga
TTD,"Trínidad og Tóbagó-dalur"
TND,"Túniskur denari"
TMT,"Túrkmenskt manat"
TMM,"Túrkmenskt manat (1993–2009)"
TRY,"Tyrknesk líra"
TRL,"Tyrknesk líra (1922–2005)"
UGS,"Ugandan Shilling (1966–1987)"
UAK,"Ukrainian Karbovanetz"
HUF,"Ungversk fórinta"
UYP,"Uruguayan Peso (1975–1993)"
UYI,"Uruguayan Peso (Indexed Units)"
UGX,"Úgandskur skildingur"
UAH,"Úkraínsk hrinja"
UYU,"Úrúgvæskur pesi"
UZS,"Úsbekskt súm"
VUV,"Vanúatúskt vatú"
VEF,"Venesúelskur bólívari"
XOF,"Vesturafrískur franki"
VNN,"Vietnamese Dong (1978–1985)"
VND,"Víetnamskt dong"
CHE,"WIR Euro"
CHW,"WIR Franc"
YUN,"Yugoslavian Convertible Dinar (1990–1992)"
YUD,"Yugoslavian Hard Dinar (1966–1990)"
YUR,"Yugoslavian Reformed Dinar (1992–1993)"
ZRN,"Zairean New Zaire (1993–1998)"
ZRZ,"Zairean Zaire (1971–1993)"
ZMK,"Zambian Kwacha (1968–2012)"
ZWR,"Zimbabwean Dollar (2008)"
ZWL,"Zimbabwean Dollar (2009)"
DEM,"Þýskt mark"
