id,value
SLL,SLL
SKK,"Slovak Koruna"
SIT,"Slovenian Tolar"
SOS,SOS
ZAL,"South African Rand (financial)"
KRH,"South Korean Hwan (1953–1962)"
KRO,"South Korean Won (1945–1953)"
SUR,"Soviet Rouble"
ESP,"Spanish Peseta"
ESA,"Spanish Peseta (A account)"
ESB,"Spanish Peseta (convertible account)"
STD,STD
SDG,"Sudan funti"
SDD,"Sudanese Dinar (1992–2007)"
SDP,"Sudanese Pound (1957–1998)"
SRD,"Surinam dollari"
SRG,"Surinamese Guilder"
SYP,SYP
SZL,SZL
TJR,"Tajikistani Ruble"
THB,"Tayland bahti"
TPE,"Timorese Escudo"
TJS,TJS
TMT,TMT
TOP,TOP
TTD,"Trinidad va Tobago dollari"
TND,"Tunis dinori"
TRY,"Turk lirasi"
TRL,"Turkish Lira (1922–2005)"
TMM,"Turkmenistani Manat (1993–2009)"
TZS,TZS
UGS,"Ugandan Shilling (1966–1987)"
UGX,UGX
UAH,"Ukrain grivnasi"
UAK,"Ukrainian Karbovanets"
UYP,"Uruguayan Peso (1975–1993)"
UYI,"Uruguayan Peso (Indexed Units)"
UYU,"Urugvay pesosi"
USN,"US Dollar (Next day)"
USS,"US Dollar (Same day)"
VEF,"Venesuela bolivari"
VEB,"Venezuelan Bolívar (1871–2008)"
HUF,"Vengriya forinti"
VNN,"Vietnamese Dong (1978–1985)"
VND,VND
VUV,VUV
CHE,"WIR Euro"
CHW,"WIR Franc"
WST,WST
XAF,XAF
CNY,"Xitoy yuani"
XOF,XOF
XPF,XPF
JMD,"Yamayka dollari"
TWD,"Yangi Tayvan dollari"
JPY,"Yapon yenasi"
YDD,"Yemeni Dinar"
YER,YER
EUR,Yevro
YUN,"Yugoslavian Convertible Dinar (1990–1992)"
YUD,"Yugoslavian Hard Dinar (1966–1990)"
YUM,"Yugoslavian New Dinar (1994–2002)"
YUR,"Yugoslavian Reformed Dinar (1992–1993)"
ZRN,"Zairean New Zaire (1993–1998)"
ZRZ,"Zairean Zaire (1971–1993)"
ZMK,"Zambian Kwacha (1968–2012)"
ZWD,"Zimbabwean Dollar (1980–2008)"
ZWR,"Zimbabwean Dollar (2008)"
ZWL,"Zimbabwean Dollar (2009)"
ZMW,ZMW
AFN,افغانی
