id,value
BOP,玻利维亚比索
BOB,玻利维亚诺
BOL,"玻利维亚诺 (1863–1963)"
KWD,科威特第纳尔
KMF,科摩罗法郎
TND,突尼斯第纳尔
USD,美元
USS,美元（当日）
USN,美元（次日）
GBP,英镑
COU,哥伦比亚币
COP,哥伦比亚比索
CRC,哥斯达黎加科朗
EGP,埃及镑
ETB,埃塞俄比亚比尔
NOK,挪威克朗
GEL,格鲁吉亚拉里
THB,泰铢
HTG,海地古德
IEP,爱尔兰镑
EEK,爱沙尼亚克朗
TTD,特立尼达和多巴哥元
PEI,秘鲁印第
PES,"秘鲁索尔 (1863–1965)"
PEN,秘鲁新索尔
SOS,索马里先令
CZK,捷克克郎
CSK,捷克硬克郎
NLG,荷兰盾
ANG,荷属安的列斯盾
MZN,莫桑比克美提卡
MZE,莫桑比克埃斯库多
LSL,莱索托洛蒂
BWP,博茨瓦纳普拉
ATS,奥地利先令
FJD,斐济元
LKR,斯里兰卡卢比
SZL,斯威士兰里兰吉尼
SIT,斯洛文尼亚托拉尔
SKK,斯洛伐克克朗
CLF,智利（资金）
CLP,智利比索
CLE,智利埃斯库多
KPW,朝鲜元
HKD,港元
BUK,缅元
MMK,缅甸元
PHP,菲律宾比索
VND,越南盾
VNN,"越南盾 (1978–1985)"
KRW,韩元
KRO,"韩元 (1945–1953)"
KRH,"韩元 (1953–1962)"
TJR,塔吉克斯坦卢布
TJS,塔吉克斯坦索莫尼
RSD,塞尔维亚第纳尔
SCR,塞舌尔卢比
SLL,塞拉利昂利昂
CYP,塞浦路斯镑
ITL,意大利里拉
ZRN,"新扎伊尔 (1993–1998)"
SGD,新加坡元
TWD,新台币
NZD,新西兰元
CHF,瑞士法郎
SEK,瑞典克朗
SVC,萨尔瓦多科朗
WST,萨摩亚塔拉
GWE,葡萄牙几内亚埃斯库多
PTE,葡萄牙埃斯库多
FKP,福克兰群岛镑
MNT,蒙古图格里克
DEM,德国马克
MDL,摩尔多瓦列伊
MDC,摩尔多瓦库邦
MCF,摩纳哥法郎
MAF,摩洛哥法郎
MAD,摩洛哥迪拉姆
LBP,黎巴嫩镑
MXV,墨西哥（资金）
MXN,墨西哥比索
MXP,"墨西哥银比索 (1861–1992)"
AUD,澳大利亚元
MOP,澳門元
ZMW,赞比亚克瓦查
ZMK,"赞比亚克瓦查 (1968–2012)"
CNX,"Chinese People’s Bank Dollar"
MVP,"Maldivian Rupee (1947–1981)"
XRE,"RINET 基金"
