id,value
ARP,"peso argentino (vecchio Cod.)"
BOP,"peso boliviano"
CLP,"peso cileno"
COP,"peso colombiano"
CUP,"peso cubano"
CUC,"peso cubano convertibile"
GWP,"peso della Guinea-Bissau"
PHP,"peso delle Filippine"
DOP,"peso dominicano"
MXN,"peso messicano"
MXP,"peso messicano d’argento (1861–1992)"
UYU,"peso uruguaiano"
UYP,"peso uruguaiano (1975–1993)"
UYI,"peso uruguaiano in unità indicizzate"
BWP,"pula del Botswana"
GTQ,"quetzal guatemalteco"
ZAR,"rand sudafricano"
ZAL,"rand sudafricano (finanziario)"
BRL,"real brasiliano"
CNY,"renminbi cinese"
QAR,"rial del Qatar"
OMR,"rial dell’Oman"
IRR,"rial iraniano"
KHR,"riel cambogiano"
MYR,"ringgit della Malesia"
SAR,"riyal saudita"
YER,"riyal yemenita"
BYR,"rublo bielorusso"
TJR,"rublo del Tajikistan"
RUR,"rublo della CSI"
LVR,"rublo lettone"
RUB,"rublo russo"
SUR,"rublo sovietico"
MVR,"rufiyaa delle Maldive"
PKR,"rupia del Pakistan"
SCR,"rupia delle Seychelles"
LKR,"rupia di Sri Lanka"
INR,"rupia indiana"
IDR,"rupia indonesiana"
MUR,"rupia mauriziana"
NPR,"rupia nepalese"
ATS,"scellino austriaco"
TZS,"scellino della Tanzania"
KES,"scellino keniota"
SOS,"scellino somalo"
UGX,"scellino ugandese"
UGS,"scellino ugandese (1966–1987)"
PEN,"sol nuevo peruviano"
PES,"sol peruviano"
KGS,"som Kirghiso"
TJS,"somoni del Tajikistan"
KRH,"South Korean Hwan (1953–1962)"
KRO,"South Korean Won (1945–1953)"
CYP,"sterlina cipriota"
FKP,"sterlina delle Falkland"
GIP,"sterlina di Gibilterra"
SHP,"sterlina di Sant’Elena"
EGP,"sterlina egiziana"
GBP,"sterlina inglese"
IEP,"sterlina irlandese"
ILP,"sterlina israeliana"
MTP,"sterlina maltese"
SDG,"sterlina sudanese"
SSP,"sterlina sudsudanese"
ECS,"sucre dell’Ecuador"
SDP,"Sudanese Pound (1957–1998)"
UZS,"sum dell’Uzbekistan"
GNS,"syli della Guinea"
BDT,"taka bangladese"
WST,"tala della Samoa Occidentale"
SIT,"tallero sloveno"
LTT,"talonas lituani"
KZT,"tenge kazako"
MNT,"tugrik mongolo"
MXV,"unidad de inversion (UDI) messicana"
ECV,"unidad de valor constante (UVC) dell’Ecuador"
CLF,"unidades de fomento chilene"
VUV,"vatu di Vanuatu"
VNN,"Vietnamese Dong (1978–1985)"
CHE,"WIR Euro"
CHW,"WIR Franc"
KPW,"won nordcoreano"
KRW,"won sudcoreano"
JPY,"yen giapponese"
YUR,"Yugoslavian Reformed Dinar (1992–1993)"
ZRZ,"zaire dello Zaire"
ZWR,"Zimbabwean Dollar (2008)"
PLN,"złoty polacco"
PLZ,"złoty Polacco (1950–1995)"
