id,value
MAD,"Mərakeş Dirhəmi"
MAF,"Mərakeş Frankası"
EGP,"Misir Funtu"
MDL,"Moldova Leyi"
MDC,"Moldovan Cupon"
MCF,"Monegasque Franc"
MNT,"Monqoliya Tuqriki"
MZE,"Mozambik Eskudosu"
MZN,"Mozambik Metikalı"
MZM,"Mozambik Metikalı (1980–2006)"
SHP,"Müqəddəs Yelena Funtu"
MMK,"Myanma Kiyatı"
NAD,"Namibiya Dolları"
NPR,"Nepal Rupisi"
ANG,"Niderland Antilyası Gilderi"
NGN,"Nigeriya Nairası"
NIO,"Nikaraqua Kordobası"
NIC,"Nikaraqua kordobu"
NOK,"Norveç Kronu"
OMR,"Oman Rialı"
UZS,"Özbəkistan Somu"
PKR,"Pakistan Rupisi"
PAB,"Panama Balboası"
PGK,"Papua Yeni Qvineya Kinası"
PYG,"Paraqvay Quaranisi"
PEI,"Peru Inti"
PEN,"Peru Nuevo Solu"
PES,"Peru Solu"
PLN,"Polşa Zlotısı"
PLZ,"Polşa Zlotısı (1950–1995)"
GWE,"Portugal Qvineya Eskudosu"
PTE,"Portuqal Eskudosu"
XRE,"RINET Funds"
RHD,"Rodezian Dolları"
RWF,"Ruanda Frankı"
RON,"Rumıniya Leyi"
ROL,"Rumıniya Leyi (1952–2006)"
RUB,"Rusiya Rublu"
RUR,"Rusiya Rublu (1991–1998)"
WST,"Samoa Talası"
STD,"San Tom və Prinsip Dobrası"
RSD,"Serbiya Dinarı"
CSD,"Serbiya Dinarı (2002–2006)"
SCR,"Seyşel Rupisi"
SAR,"Səudiyyə Riyalı"
SLL,"Sierra Leon Leonu"
SGD,"Sinqapur Dolları"
SKK,"Slovak Korunası"
SIT,"Sloveniya Toları"
SBD,"Solomon Adaları Dolları"
SOS,"Somali Şillinqi"
KRH,"South Korean Hwan (1953–1962)"
KRO,"South Korean Won (1945–1953)"
SUR,"Sovet Rublu"
SDG,"Sudan Funtu"
SDD,"Sudanese Dinar (1992–2007)"
SDP,"Sudanese Pound (1957–1998)"
SRD,"Surinam Dolları"
SRG,"Surinamese Guilder"
SYP,"Suriya Funtu"
SZL,"Svazilend Lilangenini"
DDM,"Şərq Almaniya Ostmarkı"
XCD,"Şərqi Karib Dolları"
KPW,"Şimali Koreya Vonu"
LKR,"Şri Lanka Rupisi"
TJR,"Tacikistan Rublu"
TJS,"Tacikistan Somonisi"
TZS,"Tanzaniya Şillinqi"
THB,"Tayland Batı"
TWD,"Tayvan Yeni Dolları"
TPE,"Timor Eskudu"
TOP,"Tonqa Panqası"
TTD,"Trinidad və Tobaqo Dolları"
TND,"Tunis Dinarı"
TRY,"Türkiyə Lirəsi"
TRL,"Türkiyə Lirəsi (1922–2005)"
TMT,"Türkmənistan Manatı"
TMM,"Türkmənistan Manatı (1993–2009)"
UAK,"Ukrayna Karbovenesası"
UAH,"Ukrayna Qrivnası"
UGX,"Uqanda Şillinqi"
UGS,"Uqanda Şillinqi (1966–1987)"
UYU,"Uruqvay Pesosu"
UYP,"Uruqvay Pesosu (1975–1993)"
UYI,"Uruqvay pesosu Unidades Indexadas"
VUV,"Vanuatu Vatusu"
VEF,"Venesuela Bolivarı"
VEB,"Venesuela Bolivarı (1871–2008)"
VND,"Vyetnam Donqu"
VNN,"Vyetnam Donqu (1978–1985)"
JMD,"Yamayka Dolları"
JPY,"Yaponiya Yeni"
NZD,"Yeni Zelandiya Dolları"
YDD,"Yəmən Dinarı"
YER,"Yəmən Rialı"
YUR,"Yugoslavian Reformed Dinar (1992–1993)"
YUD,"Yuqoslaviya Dinarı (1966–1990)"
YUN,"Yuqoslaviya Dinarı (1990–1992)"
YUM,"Yuqoslaviya Yeni Dinarı (1994–2002)"
GRD,"Yunan Draçması"
ZRN,"Zair Yeni Zairi (1993–1998)"
ZRZ,"Zair Zairi (1971–1993)"
ZMW,"Zambiya Kvaçası"
ZMK,"Zambiya Kvaçası (1968–2012)"
ZWD,"Zimbabve Dolları (1980–2008)"
ZWR,"Zimbabve Dolları (2008)"
ZWL,"Zimbabve Dolları (2009)"
CHE,"WIR Avro"
CHW,"WIR Frankası"
