id,value
VEB,"Μπολιβάρ Βενεζουέλας (1871–2008)"
BOB,"Μπολιβιάνο Βολιβίας"
NGN,"Νάιρα Νιγηρίας"
ERN,"Νάκφα Ερυθραίας"
BTN,"Νγκούλτρουμ Μπουτάν"
AON,"Νέα Κουάνζα Ανγκόλας (1990–2000)"
YUM,"Νέο Δηνάριο Γιουγκοσλαβίας"
TWD,"Νέο δολάριο Ταϊβάν"
ZRN,"Νέο Ζαΐρ Ζαΐρ"
BRN,"Νέο Κρουζάντο Βραζιλίας"
BRB,"Νέο Κρουζιέρο Βραζιλίας (1967–1986)"
BYB,"Νέο Ρούβλι Λευκορωσίας (1994–1999)"
ILS,"Νέο Σέκελ Ισραήλ"
PEN,"Νέο Σολ Περού"
GMD,"Νταλάσι Γκάμπιας"
AED,"Ντιράμ Ηνωμένων Αραβικών Εμιράτων"
MAD,"Ντιράμ Μαρόκου"
STD,"Ντόμπρα Σάο Τομέ και Πρίνσιπε"
VND,"Ντονγκ Βιετνάμ"
AMD,"Ντραμ Αρμενίας"
LUL,"Οικονομικό Φράγκο Λουξεμβούργου"
DDM,"Οστμάρκ Ανατολικής Γερμανίας"
MRO,"Ουγκίγια Μαυριτανίας"
CLF,"Ουνιδάδες ντε φομέντο Χιλής"
TOP,"Παάγκα νήσων Τόγκα"
SDP,"Παλαιά Λίρα Σουδάν"
CSD,"Παλαιό Δηνάριο Σερβίας"
MZM,"Παλαιό Μετικάλ Μοζαμβίκης"
ISJ,"Παλιά κορόνα Ισλανδίας"
TRL,"Παλιά Λίρα Τουρκίας"
ILR,"παλιό σεκέλ Ισραήλ"
MOP,"Πατάκα Μακάο"
ADP,"Πεσέτα Ανδόρας"
ESP,"Πεσέτα Ισπανίας"
ESA,"πεσέτα Ισπανίας (λογαριασμός Α)"
ESB,"πεσέτα Ισπανίας (μετατρέψιμος λογαριασμός)"
ARS,"Πέσο Αργεντινής"
ARP,"Πέσο Αργεντινής (1983–1985)"
BOP,"Πέσο Βολιβίας"
GWP,"Πέσο Γουινέας-Μπισάου"
DOP,"Πέσο Δομινικανής Δημοκρατίας"
COP,"Πέσο Κολομβίας"
CUP,"Πέσο Κούβας"
MXN,"Πέσο Μεξικού"
UYU,"Πέσο Ουρουγουάης"
UYP,"Πέσο Ουρουγουάης (1975–1993)"
PHP,"Πέσο Φιλιππίνων"
CLP,"Πέσο Χιλής"
BWP,"Πούλα Μποτσουάνας"
ZAR,"Ραντ Νότιας Αφρικής"
ZAL,"Ραντ Νότιας Αφρικής (οικονομικό)"
BRL,"Ρεάλ Βραζιλίας"
